LO_COMPTEUR,Nom,Département,Pays
440456,"03 ALLIER",FO,1
440455,"03 ALLIER",FO,1
196216,AANOUT,LB,48
313668,AANOUT,LB,48
68506,"ABANCOURT (hameau)",60,1
68507,"ABANCOURT (hameau)",60,1
78969,"ABIME (PONT DE L')",73,1
78970,"ABIME (PONT DE L')",73,1
66952,ABON,58,1
66953,ABON,58,1
66954,ABON,58,1
130760,ABSTATTEN,AT,3
183991,ABSTATTEN,AT,3
104290,AFFLIGEM,BE,4
442570,AFFLIGEM,BE,4
117027,AGER,ES,6
117028,AGER,ES,6
35051,"AGNELIERS (LES)",04,1
104166,"AGNELIERS (LES)",04,1
35325,"AIGLE (REFUGE DE L')",05,1
35324,"AIGLE (REFUGE DE L')",05,1
82068,AIGREMONT,78,1
82069,AIGREMONT,78,1
121533,AIGUES,ES,6
420234,AIGUES,ES,6
96535,"ALCOOL ->",THE,86
96536,"ALCOOL ->",THE,86
96537,"ALCOOL ->",THE,86
96538,"ALCOOL ->",THE,86
96539,"ALIMENTATION ->",THE,86
96541,"ALIMENTATION ->",THE,86
96543,"ALIMENTATION ->",THE,86
96540,"ALIMENTATION ->",THE,86
96542,"ALIMENTATION ->",THE,86
32409,ALLEMENT,01,1
101024,ALLEMENT,01,1
91396,"ALLUES (LES)",73,1
96766,"ALLUES (les)",73,1
32412,"ALLYMES (DES)",01,1
32411,"ALLYMES (DES)",01,1
117054,"ALOS DE BALAGUER",ES,6
117055,"ALOS DE BALAGUER",ES,6
88777,"ALOUETTES (DES)",92,1
88778,"ALOUETTES (DES)",92,1
74274,ALTDORF,67,1
74275,ALTDORF,67,1
90284,ALVERINGEM,BE,4
102468,ALVERINGEM,BE,4
31727,AMAGNE,08,1
31726,AMAGNE,08,1
76499,AMANCE,70,1
76500,AMANCE,70,1
37962,"AMAREE (MAS DE L')",13,1
114539,"AMAREE (MAS DE L')",13,1
114540,"AMAREE (MAS DE L')",13,1
100150,AMBLEVE,BE,4
106433,AMBLEVE,BE,4
78220,"AMENON (D')",72,1
78221,"AMENON (D')",72,1
38200,AMMEVILLE,14,1
443189,AMMEVILLE,14,1
78222,"AMMON (D')",72,1
78223,"AMMON (D')",72,1
90287,ANDENNE,BE,4
107714,ANDENNE,BE,4
99775,"ANGE GARDIEN (L)",CA,27
99857,"ANGE GARDIEN (L)",CA,27
58868,ANGLARS,46,1
58866,ANGLARS,46,1
90293,"ANNEVOIE ROUILLON",BE,4
91079,"ANNEVOIE ROUILLON",BE,4
131118,APFELBERG,AT,3
131119,APFELBERG,AT,3
82079,"APREMONT (hameau)",78,1
82080,"APREMONT (hameau)",78,1
72794,ARBONNE,64,1
96683,ARBONNE,64,1
72797,ARCANGUES,64,1
72798,ARCANGUES,64,1
87237,"ARCHAMBAULT (D')",89,1
87238,"ARCHAMBAULT (D')",89,1
60048,ARDANNES,49,1
60046,ARDANNES,49,1
60045,ARDANNES,49,1
69573,ARGENTELLES,61,1
69574,ARGENTELLES,61,1
66973,ARGOULAIS,58,1
66974,ARGOULAIS,58,1
80045,ARGUEIL,76,1
80046,ARGUEIL,76,1
49472,ARGUENOS,31,1
442090,ARGUENOS,31,1
75560,ARNAS,69,1
75561,ARNAS,69,1
69576,"ARRONDEAU (D')",61,1
69577,"ARRONDEAU (D')",61,1
87244,"ARTHÃÂ (D')",89,1
87245,"ARTHÃÂ (D')",89,1
56983,ARTIAS,43,1
56982,ARTIAS,43,1
94015,ASIAGO,IT,10
100222,ASIAGO,IT,10
59741,ASINIERES,48,1
439434,ASINIERES,48,1
41868,ASPRETO,2A,1
41867,ASPRETO,2A,1
73444,ASTE,65,1
107866,ASTE,65,1
91534,AUBEL,BE,4
442686,AUBEL,BE,4
60054,AUBERDIERE,49,1
60053,AUBERDIERE,49,1
43191,AUBIERS,22,1
43190,AUBIERS,22,1
83270,AUBIGNY,80,1
91329,AUBIGNY,80,1
60931,AUDERVILLE,50,1
442288,AUDERVILLE,50,1
94567,AUGSBURG,DE,2
94583,AUGSBURG,DE,2
69585,AUGUAISE,61,1
69586,AUGUAISE,61,1
47723,"AULNAY (D')",28,1
47722,"AULNAY (D')",28,1
69590,AUTHEUIL,61,1
69591,AUTHEUIL,61,1
65895,AVANCY,57,1
65896,AVANCY,57,1
32443,"AVANEINS (CHALET DES)",01,1
32442,"AVANEINS (CHALET DES)",01,1
91415,AVATORU,987,1
97955,AVATORU,987,1
34467,"AVRILLY (D')",03,1
34466,"AVRILLY (D')",03,1
103998,"BA LUA",VN,223
104057,"BA LUA",VN,223
97570,"BAD PFAFERS",CH,16
442717,"BAD PFAFERS",CH,16
86008,"BAGNAC (DE)",87,1
86009,"BAGNAC (DE)",87,1
73461,"BAGNERES DE BIGORRE (hameau)",65,1
73462,"BAGNERES DE BIGORRE (hameau)",65,1
64615,BALASTIÃÂ©RE,55,1
64616,BALASTIÃÂ©RE,55,1
97911,"BALME (col de)",74,1
106157,"BALME (col de)",74,1
74291,"BAN DE LA ROCHE (commune)",67,1
74292,"BAN DE LA ROCHE (commune)",67,1
74293,"BAN DE LA ROCHE (commune)",67,1
106145,"BANGE (de)",74,1
79604,"BANGE (DE)",74,1
71841,"BARAQUE (LA)",63,1
98050,"BARAQUE (LA)",63,1
45987,"BARAQUES (hameau)",26,1
45986,"BARAQUES (hameau)",26,1
35339,"BARAQUES (LES)",05,1
35338,"BARAQUES (LES)",05,1
85155,BARBATRE,85,1
90123,BARBATRE,85,1
58043,BARDIN,45,1
58042,BARDIN,45,1
74294,BAREMBACH,67,1
74295,BAREMBACH,67,1
73474,"BAROUSSE (vallÃÂ©e de la)",65,1
73475,"BAROUSSE (vallÃÂ©e de la)",65,1
96040,BARQUISIMETO,VE,73
98493,BARQUISIMETO,VE,73
34474,"BARRE (DE LA)",03,1
101111,"BARRE (DE LA)",03,1
47743,"BARRE (DE LA)",28,1
47742,"BARRE (DE LA)",28,1
