ID,Localité
444151,"Îles Vierges britanniques chercher par nom de localité"
444152,"Îles Mariannes du Nord chercher par nom de localité"
444153,"Papouasie-Nouvelle-Guinée chercher par nom de localité"
444154,"Sainte-Hélène, Ascension et Tristan da Cunha chercher par nom de localité"
444155,"Îles Vierges des États-Unis chercher par nom de localité"
444156,"Géorgie du Sud-et-les Îles Sandwich du Sud chercher par nom de localité"
444157,"Territoire britannique de l'océan Indien chercher par nom de localité"
444158,"Saint-Christophe-et-Niévès chercher par nom de localité"
444159,"Îles mineures éloignées des États-Unis chercher par nom de localité"
444160,"Îles Heard-et-MacDonald chercher par nom de localité"
444161,"Saint-Vincent-et-les-Grenadines chercher par nom de localité"
444162,"Saint-Pierre-et-Miquelon chercher par nom de localité"
444163,"République centrafricaine chercher par nom de localité"
444164,"Terres australes et antarctiques françaises chercher par nom de localité"
444165,"Îles Turques-et-Caïques chercher par nom de localité"
444166,"République dominicaine chercher par nom de localité"
444167,"Bourgogne-Franche-Comté chercher par nom de localité"
444168,"Provence-Alpes-Côte d'Azur chercher par nom de localité"
444169,"Alpes-de-Haute-Provence chercher par nom de localité"
