"ID Localite","ID Pays","Nom Base","Nom Local","Nouveau Nom Base"
94559,2,"ALSDORF (Rhénanie-du-Nord-Westphalie)",Alsdorf,"ALSDORF (Rhénanie-du-Nord-Westphalie) (Alsdorf)"
95730,2,ZELL,"Zell (Mosel)","ZELL (Zell (Mosel))"
96720,2,WAN,Van,"WAN (Van)"
94554,2,ALFELD,"Alfeld (Leine)","ALFELD (Alfeld (Leine))"
96844,2,HENNEF,"Hennef (Sieg)","HENNEF (Hennef (Sieg))"
91521,2,MAINZ,Mayence,"MAINZ (Mayence)"
95159,2,MARL,Mali,"MARL (Mali)"
94825,2,FORST,"Forst (Lusace)","FORST (Forst (Lusace))"
95165,2,"MAYEN (RHENANIE PALATINAT)",Mayen,"MAYEN (RHENANIE PALATINAT) (Mayen)"
95104,2,LEER,"Leer (arrondissement)","LEER (Leer (arrondissement))"
91519,2,SAARBRUCKEN,Sarrebruck,"SAARBRUCKEN (Sarrebruck)"
91492,2,DILLINGEN,"Dillingen an der Donau","DILLINGEN (Dillingen an der Donau)"
94539,2,"AACH 7701",Aach,"AACH 7701 (Aach)"
94540,2,AACHEN,Aix-la-Chapelle,"AACHEN (Aix-la-Chapelle)"
94567,2,AUGSBURG,Augsbourg,"AUGSBURG (Augsbourg)"
94574,2,ANNWEILER,"Annweiler am Trifels","ANNWEILER (Annweiler am Trifels)"
94579,2,AROLSEN,"Bad Arolsen","AROLSEN (Bad Arolsen)"
94580,2,ASCHAU,"Aschau im Chiemgau","ASCHAU (Aschau im Chiemgau)"
94582,2,AUERBACH,Auerbach/Vogtland,"AUERBACH (Auerbach/Vogtland)"
94583,2,AUGSBURG,Augsbourg,"AUGSBURG (Augsbourg)"
94587,2,"BADEN BADEN",Baden-Baden,"BADEN BADEN (Baden-Baden)"
94596,2,BATTENBERG,"Battenberg (Eder)","BATTENBERG (Battenberg (Eder))"
94602,2,"BEDBURG HAU",Bedburg-Hau,"BEDBURG HAU (Bedburg-Hau)"
94611,2,BERGZABERN,"Bad Bergzabern","BERGZABERN (Bad Bergzabern)"
94612,2,BERLINGEN,Berling,"BERLINGEN (Berling)"
94613,2,BERNBURG,Bernbourg,"BERNBURG (Bernbourg)"
94615,2,BERTRICH,"Bad Bertrich","BERTRICH (Bad Bertrich)"
94621,2,BIBERACH,"Biberach an der Riss","BIBERACH (Biberach an der Riss)"
94629,2,"BIETIGHEIM BISSINGEN",Bietigheim-Bissingen,"BIETIGHEIM BISSINGEN (Bietigheim-Bissingen)"
94630,2,"BILLIGHEIM INGENHEIM",Billigheim-Ingenheim,"BILLIGHEIM INGENHEIM (Billigheim-Ingenheim)"
94632,2,"BINGEN 7481",Bionville-sur-Nied,"BINGEN 7481 (Bionville-sur-Nied)"
94635,2,BISCHOFSHEIM,Bischoffsheim,"BISCHOFSHEIM (Bischoffsheim)"
94656,2,BRAUNSCHWEIG,Brunswick,"BRAUNSCHWEIG (Brunswick)"
94659,2,"BREITNAU 7821",Breitnau,"BREITNAU 7821 (Breitnau)"
94660,2,"BREITNAU 7824",Breitnau,"BREITNAU 7824 (Breitnau)"
94661,2,BREMEN,Breme,"BREMEN (Breme)"
94927,2,HAMELN,Hamelin,"HAMELN (Hamelin)"
94683,2,KASSEL,Cassel,"KASSEL (Cassel)"
94686,2,"CLAUSTHAL ZELLERFELD",Clausthal-Zellerfeld,"CLAUSTHAL ZELLERFELD (Clausthal-Zellerfeld)"
94687,2,COBLENZ,Coblence,"COBLENZ (Coblence)"
94688,2,COBURG,Cobourg,"COBURG (Cobourg)"
94692,2,CHIEMSEE,"lac de Chiem","CHIEMSEE (lac de Chiem)"
94700,2,DALHEIM,Dalhain,"DALHEIM (Dalhain)"
94715,2,DIEPHOLZ,"Diepholz (arrondissement)","DIEPHOLZ (Diepholz (arrondissement))"
94730,2,DRESDEN,Dresde,"DRESDEN (Dresde)"
94732,2,DUISBURG,Duisbourg,"DUISBURG (Duisbourg)"
94742,2,EBERBACH,Eberbach-Seltz,"EBERBACH (Eberbach-Seltz)"
94750,2,EFRINGEN,Efringen-Kirchen,"EFRINGEN (Efringen-Kirchen)"
94754,2,EHINGEN,"Ehingen (Donau)","EHINGEN (Ehingen (Donau))"
94760,2,EISLINGEN,"Eislingen (Fils)","EISLINGEN (Eislingen (Fils))"
94762,2,ELLWANGEN,"Ellwangen (Jagst)","ELLWANGEN (Ellwangen (Jagst))"
94765,2,ELTVILLE,"Eltville am Rhein","ELTVILLE (Eltville am Rhein)"
94770,2,EMMERICH,"Emmerich am Rhein","EMMERICH (Emmerich am Rhein)"
94778,2,EPPINGEN,Epping,"EPPINGEN (Epping)"
94781,2,"ERBACH 6542",Erbach,"ERBACH 6542 (Erbach)"
94782,2,"ERBACH 7904",Erbach,"ERBACH 7904 (Erbach)"
94798,2,ESCHWEILER,Eschwiller,"ESCHWEILER (Eschwiller)"
94801,2,ESSLINGEN,"Esslingen am Neckar","ESSLINGEN (Esslingen am Neckar)"
94811,2,FELDBERG,"Feldberg (Schwarzwald)","FELDBERG (Feldberg (Schwarzwald))"
94826,2,FRANKENBERG,Frankenberg/Sachsen,"FRANKENBERG (Frankenberg/Sachsen)"
94828,2,FRANKENTHAL,"Frankenthal (Pfalz)","FRANKENTHAL (Frankenthal (Pfalz))"
94829,2,FRANKFURT,Francfort-sur-le-Main,"FRANKFURT (Francfort-sur-le-Main)"
94831,2,FREISING,Frisingue,"FREISING (Frisingue)"
94833,2,FREIBURG,Fribourg-en-Brisgau,"FREIBURG (Fribourg-en-Brisgau)"
94834,2,FRIEDBERG,"Friedberg (Hesse)","FRIEDBERG (Friedberg (Hesse))"
94843,2,"FURTH 6149",Furth,"FURTH 6149 (Furth)"
94844,2,"FURTH 8510",Furth,"FURTH 8510 (Furth)"
94845,2,FURTWANGEN,"Furtwangen im Schwarzwald","FURTWANGEN (Furtwangen im Schwarzwald)"
94853,2,"GAU ALGESHEIM",Gau-Algesheim,"GAU ALGESHEIM (Gau-Algesheim)"
94854,2,"GAU BICKELHEIM",Gau-Bickelheim,"GAU BICKELHEIM (Gau-Bickelheim)"
94857,2,"GEISLINGEN 7465",Geislingen,"GEISLINGEN 7465 (Geislingen)"
95003,2,JENA,Iena,"JENA (Iena)"
94876,2,GIFHORN,"Gifhorn (arrondissement)","GIFHORN (Gifhorn (arrondissement))"
94892,2,GOTTINGEN,Goettingue,"GOTTINGEN (Goettingue)"
94894,2,"GRABEN LECHFELD","Base aerienne de Lechfeld","GRABEN LECHFELD (Base aerienne de Lechfeld)"
94899,2,GRIESHEIM,Griesheim-sur-Souffel,"GRIESHEIM (Griesheim-sur-Souffel)"
94902,2,"GROSS GERAU",Gross-Gerau,"GROSS GERAU (Gross-Gerau)"
94905,2,GROSSROSSELN,Grande-Rosselle,"GROSSROSSELN (Grande-Rosselle)"
94913,2,GUTACH,"Gutach (Schwarzwaldbahn)","GUTACH (Gutach (Schwarzwaldbahn))"
94923,2,"HALLE SUR SAALE",Halle-sur-Saale,"HALLE SUR SAALE (Halle-sur-Saale)"
94926,2,HAMBURG,Hambourg,"HAMBURG (Hambourg)"
94931,2,HANNOVER,Hanovre,"HANNOVER (Hanovre)"
94932,2,"HANNOVERSCH MUNDEN","Hann. Munden","HANNOVERSCH MUNDEN (Hann. Munden)"
94935,2,HASLACH,Hazlach,"HASLACH (Hazlach)"
94942,2,HEIDESHEIM,"Heidesheim am Rhein","HEIDESHEIM (Heidesheim am Rhein)"
94958,2,"HERTEN (RHENANIE DU NORD WESTPHALIE)",Herten,"HERTEN (RHENANIE DU NORD WESTPHALIE) (Herten)"
94972,2,HOMBURG,Hombourg,"HOMBURG (Hombourg)"
94974,2,HOFEN,Hoffen,"HOFEN (Hoffen)"
